class	score
1	1.276180876
1	1.271772094
1	1.137092355
1	1.117399132
1	1.101782137
1	1.093097925
1	1.074815809
1	1.064061601
1	1.058069729
1	1.027578956
1	1.004240986
1	0.973664988
1	0.966540035
1	0.910230685
1	0.779247636
1	0.655964841
1	0.627665793
1	0.563832618
1	0.530517025
1	0.525397965
1	0.29330238
1	0.162460832
0	1.922984736
0	1.905760578
0	1.527546675
0	1.246558754
0	1.194903249
0	1.140831266
0	1.136269371
0	0.975225084
0	0.931324726
0	0.852695177
0	0.838328076
0	0.835128672
0	0.798223795
0	0.796908914
0	0.794913782
0	0.785981999
0	0.782817952
0	0.782493377
0	0.782440708
0	0.781239505
0	0.764341566
0	0.763501289
0	0.746265586
0	0.722497088
0	0.717931956
0	0.704592222
0	0.701519483
0	0.688768411
0	0.681016585
0	0.661969003
0	0.659472753
0	0.649265936
0	0.626727012
0	0.620247451
0	0.618390032
0	0.613326242
0	0.604958951
0	0.594597148
0	0.574835423
0	0.553196684
0	0.550654909
0	0.546405188
0	0.537594103
0	0.525904183
0	0.524247679
0	0.515555899
0	0.513309072
0	0.507037547
0	0.500032566
0	0.499138536
0	0.483859263
0	0.462359985
0	0.442822645
0	0.442645878
0	0.44019026
0	0.436699365
0	0.434119838
0	0.434078229
0	0.424358422
0	0.416071442
0	0.415822871
0	0.414390781
0	0.412679691
0	0.412370502
0	0.410994774
0	0.410668874
0	0.407670443
0	0.406448769
0	0.399027623
0	0.398455391
0	0.394601566
0	0.39280462
0	0.392424009
0	0.388942678
0	0.387935602
0	0.387594896
0	0.384199135
0	0.379328892
0	0.37324479
0	0.366179995
0	0.357872452
0	0.356910503
0	0.353556645
0	0.350682201
0	0.349430748
0	0.348911107
0	0.348631658
0	0.348083867
0	0.343027524
0	0.337958036
0	0.337688878
0	0.335437415
0	0.331685649
0	0.331112764
0	0.328016991
0	0.326113658
0	0.325264423
0	0.324391468
0	0.321836235
0	0.321313765
0	0.318468493
0	0.316085156
0	0.312303943
0	0.304271214
0	0.303956991
0	0.303732024
0	0.302369536
0	0.301713554
0	0.299202589
0	0.298527708
0	0.297931053
0	0.290085612
0	0.289882637
0	0.286773709
0	0.286037919
0	0.28319947
0	0.283175089
0	0.279718227
0	0.279554857
0	0.277140763
0	0.273137604
0	0.271842339
0	0.271273875
0	0.268852614
0	0.267836694
0	0.267073856
0	0.26559015
0	0.264434778
0	0.264181363
0	0.263834596
0	0.263310339
0	0.262684151
0	0.259456612
0	0.259173747
0	0.258852529
0	0.257530116
0	0.25658952
0	0.25397257
0	0.251796202
0	0.249058245
0	0.248817611
0	0.248105874
0	0.24695616
0	0.246545254
0	0.245957576
0	0.244557055
0	0.243847196
0	0.243117669
0	0.242019807
0	0.237725508
0	0.234424581
0	0.233975714
0	0.233476971
0	0.232604777
0	0.22920937
0	0.223763708
0	0.223314148
0	0.22082516
0	0.220180306
0	0.219397658
0	0.218334286
0	0.217737211
0	0.2163791
0	0.215297019
0	0.21384531
0	0.21323606
0	0.212251141
0	0.211198753
0	0.210836593
0	0.210196454
0	0.209845756
0	0.209241263
0	0.208826695
0	0.208158871
0	0.207998204
0	0.206425631
0	0.203891944
0	0.202329249
0	0.202164047
0	0.200956074
0	0.200640138
0	0.198994946
0	0.198450055
0	0.195941827
0	0.195035128
0	0.19487321
0	0.19312865
0	0.192751326
0	0.192543125
0	0.191611491
0	0.190042989
0	0.189277236
0	0.187276213
0	0.187229905
0	0.186955479
0	0.184876478
0	0.184809109
0	0.184491499
0	0.184291492
0	0.184121348
0	0.183697365
0	0.183396253
0	0.182168108
0	0.181600002
0	0.180543648
0	0.180482839
0	0.180076305
0	0.179605451
0	0.179028198
0	0.178911286
0	0.178363101
0	0.176761317
0	0.17491473
0	0.174620069
0	0.174511512
0	0.17334765
0	0.172436298
0	0.170582048
0	0.170440599
0	0.169851356
0	0.169142741
0	0.168025846
0	0.167424378
0	0.166948505
0	0.164935855
0	0.164633506
0	0.164588201
0	0.163154308
0	0.163034903
0	0.16209643
0	0.160584644
0	0.159618395
0	0.158782251
0	0.156898173
0	0.156699532
0	0.153647505
0	0.153163976
0	0.152386993
0	0.150806396
0	0.149408688
0	0.148401646
0	0.147925243
0	0.147540937
0	0.145992069
0	0.145303714
0	0.14459415
0	0.143532709
0	0.142984487
0	0.141437942
0	0.140159678
0	0.139650558
0	0.139587673
0	0.138435351
0	0.138076226
0	0.137839354
0	0.136240727
0	0.134013959
0	0.133260574
0	0.13319608
0	0.132781673
0	0.131686643
0	0.130989206
0	0.129839785
0	0.129332189
0	0.128365553
0	0.128156187
0	0.126717685
0	0.125223723
0	0.124910581
0	0.12487703
0	0.124796238
0	0.123158072
0	0.122259223
0	0.120765819
0	0.120668807
0	0.120428591
0	0.120128684
0	0.119914898
0	0.119835563
0	0.119518337
0	0.117563045
0	0.11710555
0	0.114846647
0	0.113212215
0	0.112842971
0	0.111566201
0	0.110842248
0	0.109134833
0	0.10783028
0	0.107495363
0	0.107382071
0	0.10499295
0	0.104456553
0	0.104358349
0	0.104347815
0	0.102026962
0	0.100366979
0	0.099431384
0	0.098798148
0	0.098785057
0	0.097344469
0	0.096871023
0	0.095591483
0	0.09456243
0	0.093533417
0	0.093404798
0	0.093341246
0	0.092260361
0	0.092052123
0	0.091671228
0	0.091407673
0	0.09096288
0	0.090263722
0	0.090138991
0	0.089073669
0	0.088842664
0	0.08787671
0	0.087727138
0	0.087561515
0	0.086144788
0	0.083299456
0	0.082604509
0	0.081334033
0	0.079789018
0	0.07621928
0	0.074087888
0	0.074020689
0	0.073938144
0	0.07336587
0	0.073220957
0	0.07236134
0	0.072163253
0	0.072145069
0	0.071958456
0	0.071058894
0	0.070874626
0	0.067273826
0	0.066355538
0	0.064742468
0	0.06443228
0	0.06176518
0	0.061018378
0	0.059595703
0	0.059153637
0	0.0574422
0	0.057323314
0	0.056574298
0	0.055870834
0	0.055838089
0	0.054010471
0	0.053335645
0	0.052795776
0	0.052175965
0	0.051721984
0	0.051597063
0	0.050513255
0	0.050377757
0	0.050138073
0	0.049250885
0	0.048553921
0	0.048048298
0	0.046364738
0	0.045721728
0	0.045179554
0	0.043788232
0	0.043540718
0	0.043297646
0	0.043253841
0	0.043206592
0	0.040871049
0	0.038556481
0	0.038336836
0	0.038111934
0	0.037779784
0	0.037329025
0	0.036485356
0	0.035913956
0	0.035805481
0	0.035100537
0	0.035023135
0	0.033392649
0	0.033216134
0	0.032301468
0	0.03173046
0	0.031387432
0	0.031188834
0	0.029972532
0	0.029561674
0	0.028276691
0	0.027136756
0	0.026948088
0	0.025832749
0	0.024313952
0	0.023268452
0	0.022141991
0	0.021187471
0	0.019880961
0	0.019374973
0	0.017636903
0	0.017476562
0	0.016932431
0	0.016743224
0	0.016727925
0	0.01586849
0	0.015619768
0	0.015377268
0	0.015311501
0	0.014965301
0	0.014939083
0	0.013702696
0	0.013667879
0	0.012922784
0	0.012902421
0	0.012796732
0	0.011854635
0	0.011851291
0	0.011709539
0	0.009978565
0	0.009901371
0	0.006509338
0	0.004790776
0	0.004765213
0	0.003702358
0	0.003378079
0	0.003187197
0	0.003006655
0	0.000859042
0	-0.000387339
0	-0.001707701
0	-0.002198646
0	-0.003310604
0	-0.003758987
0	-0.003795701
0	-0.005856325
0	-0.005975174
0	-0.006795142
0	-0.007088586
0	-0.007285972
0	-0.007375373
0	-0.007495564
0	-0.008042307
0	-0.008919814
0	-0.009171321
0	-0.009822592
0	-0.010049851
0	-0.01142582
0	-0.012128115
0	-0.012194951
0	-0.012833631
0	-0.013042918
0	-0.013454403
0	-0.015070801
0	-0.015260212
0	-0.01705676
0	-0.018912319
0	-0.019176943
0	-0.019265232
0	-0.01969479
0	-0.020628256
0	-0.022080885
0	-0.022743051
0	-0.023678008
0	-0.0239937
0	-0.025035377
0	-0.025333513
0	-0.025527121
0	-0.025736885
0	-0.025793605
0	-0.026280891
0	-0.026320976
0	-0.026638359
0	-0.027033406
0	-0.027117046
0	-0.027746237
0	-0.028320826
0	-0.029276113
0	-0.030046059
0	-0.030267982
0	-0.030289659
0	-0.030634488
0	-0.030655678
0	-0.031539801
0	-0.031659948
0	-0.033341682
0	-0.034139317
0	-0.034942726
0	-0.035278065
0	-0.03702303
0	-0.037029124
0	-0.037487783
0	-0.037636093
0	-0.03936234
0	-0.039374121
0	-0.041310526
0	-0.042020403
0	-0.042173825
0	-0.042230092
0	-0.042475136
0	-0.043787114
0	-0.044771159
0	-0.045036752
0	-0.045053593
0	-0.045112237
0	-0.045295472
0	-0.045927126
0	-0.046379651
0	-0.0465705
0	-0.047156189
0	-0.047780132
0	-0.048139505
0	-0.048895167
0	-0.049308142
0	-0.049428393
0	-0.049804385
0	-0.050354559
0	-0.050782354
0	-0.051025394
0	-0.051031652
0	-0.051245862
0	-0.052889183
0	-0.053162013
0	-0.05335151
0	-0.053460613
0	-0.054571859
0	-0.054737548
0	-0.05547006
0	-0.056239398
0	-0.057016064
0	-0.057928436
0	-0.0587012
0	-0.058980419
0	-0.059020756
0	-0.059112731
0	-0.059209591
0	-0.059892556
0	-0.060482798
0	-0.060616242
0	-0.062127893
0	-0.062678361
0	-0.062809976
0	-0.062906132
0	-0.063071066
0	-0.063115939
0	-0.064776056
0	-0.065138767
0	-0.065143874
0	-0.06522643
0	-0.065450013
0	-0.065576522
0	-0.065717824
0	-0.06575717
0	-0.065903919
0	-0.06593351
0	-0.066075133
0	-0.066383807
0	-0.067212829
0	-0.067582567
0	-0.067671594
0	-0.068727599
0	-0.0702194
0	-0.071488083
0	-0.071668929
0	-0.07186516
0	-0.072063972
0	-0.072333716
0	-0.07249854
0	-0.072505497
0	-0.074148061
0	-0.07464748
0	-0.075602236
0	-0.075819501
0	-0.075914067
0	-0.076569397
0	-0.076646882
0	-0.077174399
0	-0.077237592
0	-0.077785945
0	-0.077879501
0	-0.079176593
0	-0.081797666
0	-0.082072147
0	-0.082891975
0	-0.084336239
0	-0.085277411
0	-0.085373996
0	-0.085553488
0	-0.085695679
0	-0.086782324
0	-0.087233104
0	-0.087342144
0	-0.087803217
0	-0.088542696
0	-0.089760768
0	-0.089768216
0	-0.089889375
0	-0.090581857
0	-0.090767491
0	-0.09194937
0	-0.092168943
0	-0.092343938
0	-0.09272829
0	-0.09317355
0	-0.093335449
0	-0.093485241
0	-0.093750252
0	-0.094543369
0	-0.094635977
0	-0.094663831
0	-0.095397233
0	-0.096339302
0	-0.097015402
0	-0.097385109
0	-0.097538499
0	-0.098264727
0	-0.098432022
0	-0.09974675
0	-0.099913336
0	-0.100899781
0	-0.101303086
0	-0.101765467
0	-0.10195488
0	-0.103208658
0	-0.104153729
0	-0.104335887
0	-0.105126528
0	-0.10517461
0	-0.10542049
0	-0.106705068
0	-0.107524096
0	-0.107999117
0	-0.10818213
0	-0.108758912
0	-0.108779361
0	-0.10991202
0	-0.110083036
